surveytaker	residence1	residence2	nationality1	nationality2	gender	age	maritalstatus	research	designation	workplace	malebias_target	femalebias_target	all_bias_target	biastype1	malebias_witness	femalebias_witness	all_bias_witness	biastype2	reported1	reported2_yn	reported2_desc	reporttype1	reporttype2_yn	reporttype2_desc	designated1	designated2	response1	response2	comfort	positiveimpact1	positiveimpact2	negativeimpact1	negativeimpact2
1	Austria	RoW	India	India	Female	20 - 30	Married	STEM	PhD student	University	yes	no	no	Gender Bias, Sexual harrassment	no	yes	yes	Gender bias, Sexual harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
2	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	na
3	Canada	America	India	India	Female	30 - 40	Single	STEM	Entrepreneur/Freelance	Entrepreneur/Freelance	yes	no	no	Gender Bias	yes	no	yes	Gender bias, Physical harrassment, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	A strict warning was given to the people involved by the designated committee	yes	na	no
4	Canada	America	Canada	America	Female	20 - 30	Single	STEM	PhD student	University	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague, Supervisor, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	Change in who was working on the team	na	na	no
5	Canada	America	United States	America	Female	20 - 30	Single	STEM	Post doc	Research institution	yes	not sure	yes	Gender Bias	not sure	not sure	not sure	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	na	na	na
6	Canada	America	India	India	Female	30 - 40	Social Partnership	STEM	Admin/Management	Healthcare	not sure	not sure	not sure	na	not sure	not sure	not sure	na	na	na	na	na	na	na	Supervisor, Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
7	Canada	America	India	India	Female	30 - 40	Married	STEM	PhD student	University	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor, I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	yes
8	Canada	America	India	India	Male	30 - 40	Married	STEM	PhD student	University	no	no	no	na	no	yes	yes	Gender Bias, Maternity	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	na	na	na	na	na
9	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Sexual harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	Better work environment	yes	na	no
10	Canada	America	Canada	America	Female	20 - 30	Single	STEM	PhD student	University	not sure	no	no	Gender Bias	yes	yes	yes	Gender bias	I advised the colleague during and after the fact.	na	na	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
11	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	no	no	na	yes	no	yes	Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	na	na	na
12	Canada	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Human Resources	Human Resources/Supervisor	didn't report	na	Not comfortable	na	no	na	no
13	Canada	America	India	India	Female	30 - 40	Single	STEM	Admin/Management	Research institution	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
14	Czech Republic	RoW	India	India	Female	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
15	Czech Republic	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
16	Czech Republic	RoW	India	India	Male	20 - 30	Don't want to specify	STEM	PhD student	Research institution	not sure	not sure	not sure	na	no	no	no	na	na	na	na	na	na	na	Designated committee	Designated committee	na	na	na	na	na	na	na
17	Czech Republic	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	na
18	Czech Republic	RoW	India	India	Male	30 - 40	Single	STEM	PhD student	Research institution	yes	not sure	yes	Mental harrassment	no	no	no	na	na	na	na	na	na	na	Supervisor	Human Resources/Supervisor	na	na	na	na	na	na	na
19	Czech Republic	RoW	Belarus	RoW	Female	20 - 30	Married	STEM	PhD student	Research institution	no	no	no	na	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	na	na	na	na	na
20	Czech Republic	RoW	Poland	RoW	Female	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
21	Germany	RoW	India	India	Female	20 - 30	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Emotional harrassment, Mental harrassment	no, I did not bother.	no	no, I did not bother.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
22	Germany	RoW	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	yes	yes	Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
23	Germany	RoW	India	India	Female	20 - 30	Married	STEM	PhD student	University	yes	no	no	Gender Bias	no	yes	yes	Gender bias	This happened at a previous workplace, and noT my current  position. no, but I did express my disapproval very strongly and openly. There was no specific women cell that I could report to and nobody took it seriously. This was in a previous University setup, where the PIs themselves were treating women differently as PhD students.	yes	yes, I immediately responded.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
24	Germany	RoW	India	India	Male	30 - 40	Single	STEM	Post doc	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Designated committee	Designated committee	na	na	na	na	na	na	na
25	Germany	RoW	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	na	na	Not comfortable	na	no	More biased and wrong information being spread against me.	yes
26	Germany	RoW	Germany	RoW	Female	20 - 30	Single	STEM	PhD student	University	yes	no	no	Gender Bias	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor, Designated committee	Designated committee	na	na	na	na	na	na	na
27	Germany	RoW	France	RoW	Female	20 - 30	Single	STEM	PhD student	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Designated committee, I don't know.	I don't know.	na	na	na	na	na	na	na
28	Germany	RoW	India	India	Male	30 - 40	Don't want to specify	STEM	Post doc	Research institution	no	no	no	na	yes	not sure	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	It was before my joining	na	na	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
29	Germany	RoW	Greece	RoW	Female	20 - 30	Single	STEM	PhD student	University	not sure	not sure	not sure	Gender Bias, Sexual harrassment	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Designated committee, I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
30	Germany	RoW	India	India	Male	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
31	Germany	RoW	Mexico	America	Female	30 - 40	Single	STEM	PhD student	University	yes	no	no	Sexual harrassment, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Very comfortable	na	no	na	no
32	Germany	RoW	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Mental harrassment, Racism	yes	no	yes	Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
33	Germany	RoW	India	India	Female	20 - 30	Single	STEM	Post doc	University	yes	no	no	Emotional harrassment, Mental harrassment	yes	no	yes	Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Warning	yes	Very comfortable	na	no	na	yes
34	Germany	RoW	India	India	Male	30 - 40	Single	STEM	PhD student	University	no	no	no	na	no	yes	yes	Gender bias	I was directly not involved in the incident. I was aware of the issue much later, so I could not repsond.	na	na	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
35	Germany	RoW	India	India	Female	20 - 30	Single	STEM	M.Sc	University	yes	no	no	Gender Bias	yes	yes	yes	Gender bias, Sexual harrassment, Physical harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources, Designated committee	Designated committee	The woman facing harassment was moved to a different supervisor	yes	Somewhat comfortable	na	no	na	no
36	Germany	RoW	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Healthcare	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	I never complained due to above mentioned reasons  	na	Not comfortable	na	na	Never reported 	na
37	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	non-profit institution	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	yes	no	yes	Gender bias, Emotional harrassment, Mental harrassment	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	I faced an unfriendly cold work environment and discomfort throughout my stay. 	yes
38	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	Entrepreneur/Freelance	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	I left the job because of constant bullying and was labelled as incompetent worker inspite of working hard and being highly productive	yes
39	India	India	India	India	Female	20 - 30	Single	STEM	Undergrad	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
40	India	India	India	India	Female	30 - 40	Single	STEM	Senior Scientist/GL	University	no	no	no	na	no	not sure	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	received support from others and set an example	yes	na	no
41	India	India	India	India	Female	20 - 30	Married	STEM	PhD student	Research institution	yes	na	yes	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	none	no	Not comfortable	na	no	na	no
42	India	India	India	India	Male	30 - 40	Married	STEM	Admin/Management	non-profit institution	yes	yes	yes	Gender Bias, Emotional harrassment	yes	not sure	yes	Gender bias, Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Somewhat comfortable	na	na	na	na
43	India	India	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Research institution	yes	no	no	Pay Gap	no	no	no	na	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
44	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	yes	yes	Emotional harrassment, Mental harrassment	no	yes	yes	Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	I confronted directly	other	other	I don't know.	I don't know.	Mediators worked to create peace Accord	yes	Not comfortable	na	no	na	no
45	India	India	India	India	Female	30 - 40	Single	STEM	PhD student	University	no	yes	yes	Gender Bias	no	yes	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Somewhat comfortable	na	na	na	na
46	India	India	India	India	Female	30 - 40	Married	STEM	Staff Scientist	Research institution	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	yes
47	India	India	India	India	Female	30 - 40	Married	STEM	Technical staff	Research institution	not sure	not sure	not sure	na	not sure	not sure	not sure	na	na	na	na	na	na	na	Designated committee, I don't know.	I don't know.	na	na	na	na	na	na	na
48	India	India	India	India	Female	30 - 40	Married	STEM	Staff Scientist	Healthcare	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	I never complained	na	Not comfortable	I just spoke up to the ones responsible for such a conduct. They never bothered.	na	I faced unfriendly work environment 	yes
49	India	India	India	India	Female	20 - 30	Married	STEM	Staff Scientist	Industry	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
50	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	no	no	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	no serious complaints were ever filed by me.	na	Very comfortable	na	yes	na	no
51	India	India	India	India	Male	30 - 40	Social Partnership	STEM	Entrepreneur/Freelance	Entrepreneur/Freelance	no	no	no	na	yes	not sure	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
52	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	non-profit institution	yes	no	no	Gender Bias, Emotional harrassment	not sure	yes	yes	Emotional harrassment	Most of the above	na	na	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	I don't know.	I don't know.	Varied	yes	Somewhat comfortable	na	yes	na	no
53	India	India	India	India	Male	30 - 40	Married	STEM	Post doc	University	not sure	yes	yes	Emotional harrassment	yes	not sure	yes	Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	na	na	na	na	na	na	na
54	India	India	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Research institution	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
55	India	India	India	India	Male	20 - 30	Single	STEM	Staff Scientist	Entrepreneur/Freelance	yes	no	no	Gender Bias	yes	no	yes	Gender bias	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	none reported, because the gender bias of over loaded work including the female colleague for given to the male colleague. Since its male workforce none taken it as seriously and I was also discouraged to raise any questions.	no	no	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Very comfortable	na	no	no, Since, the gender bias was towards a male colleague as mentioned above none taken it seriously.	na
56	India	India	India	India	Male	30 - 40	Married	STEM	Admin/Management	Industry	no	no	no	na	yes	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	Did not complaint	na	Not comfortable	na	na	Did not report. 	na
57	India	India	India	India	Male	30 - 40	Single	STEM	Post doc	non-profit institution	no	yes	yes	Gender Bias, Mental harrassment	yes	no	yes	Gender bias, Mental harrassment	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	didn't complain	na	Somewhat comfortable	na	na	didn't report	na
58	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	no	no	Gender Bias	no	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	na	na	Not comfortable	na	na	na	na
59	India	India	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	Research institution	yes	no	no	Gender Bias	no	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	Direct change in working conditions	yes	na	no
60	India	India	India	India	Female	20 - 30	Married	STEM	PhD student	University	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	not witnessed any issues	na	not witnessed	na
61	India	India	India	India	Female	30 - 40	Single	STEM	Staff Scientist	Industry	yes	not sure	yes	Gender Bias	no	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Somewhat comfortable	na	no	na	no
62	India	India	India	India	Female	30 - 40	Married	STEM	Staff Scientist	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
63	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	not sure	no	no	na	no	no	no	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	na	na	no	na	no
64	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	non-profit institution	yes	no	no	Gender Bias, Bully	yes	no	yes	Gender bias, Mental harrassment	While the bullying was happening to me, I scolded back and I discouraged the person from passing any such comments to me. 	yes	yes, I immediately responded.	The person who committed the mistake is one of the authority to whom we should report.	no	no, I did not know whom to report.	Supervisor, Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	I would be cornered if I had to raise my voice against the bullying happening to others. When it happened to me, I scolded the person and left the place. 	yes
65	India	India	India	India	Female	40 - 50	Married	STEM	M.Sc	Research institution	no	no	no	na	no	no	no	na	I never experienced such case	na	na	I never experienced such cases	na	na	I don't know.	I don't know.	I never experienced	na	na	not required	na	not required	na
66	India	India	India	India	Female	20 - 30	Married	STEM	Staff Scientist	non-profit institution	not sure	not sure	not sure	na	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	na	na	na	na	na	na	na
67	India	India	India	India	Female	30 - 40	Single	STEM	PhD student	Research institution	yes	not sure	yes	Sexual harrassment, Physical harrassment, Mental harrassment	yes	not sure	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
68	India	India	India	India	Male	20 - 30	Single	STEM	Scientific Staff	Research institution	not sure	not sure	not sure	na	not sure	not sure	not sure	na	I don't face it	na	na	I don't face it	na	na	Supervisor	Human Resources/Supervisor	I don'tface it	na	na	I don't face it	na	I don't face it	na
69	India	India	India	India	Female	30 - 40	Single	STEM	PhD student	University	yes	yes	yes	Gender Bias, Sexual harrassment, Emotional harrassment	yes	yes	yes	Gender bias, Emotional harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	no actions were taken.	no	Somewhat comfortable	na	no	The members of the committee badly wanted to ignore the complaint and save the accused. They first tried to convince me that it was all my mistake. Having realized that they can't mislead me easily, they took a U-turn. They have promised me that they will remove the accused from his position. Later, I realized that he was still continuing with his work in our lab. They made him to come whenever I was not around.   I feel that this gives a bad impression about the work culture of our lab	yes
70	India	India	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	Industry	yes	no	no	Mental harrassment	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	yes
71	India	India	India	India	Female	30 - 40	Married	STEM	PhD student	University	yes	no	no	Gender Bias	no	yes	yes	Gender bias	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
72	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	no	na	no	na	no	na	no	na	yes, but I responded later.	yes	yes, but I responded later.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Supervisor, Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
73	India	India	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Emotional harrassment, Mental harrassment	yes	not sure	yes	Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Actions were taken but not taken seriously	yes	Somewhat comfortable	na	no	Unfriendly work environment, indirect comments 	yes
