surveytaker	residence1	residence2	nationality1	nationality2	gender	age	maritalstatus	research	designation	workplace	malebias_target	femalebias_target	all_bias_target	biastype1	malebias_witness	femalebias_witness	all_bias_witness	biastype2	reported1	reported2_yn	reported2_desc	reporttype1	reporttype2_yn	reporttype2_desc	designated1	designated2	response1	response2	comfort	positiveimpact1	positiveimpact2	negativeimpact1	negativeimpact2
144	United States	America	India	India	Male	40 - 50	Single	STEM	Admin/Management	Industry	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Supervisor, Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	no
145	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	not sure	no	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
146	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Industry	yes	no	no	Gender Bias, Emotional harrassment	no	no	no	na	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	not reported	na	not reported	na
147	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	na	na	Not comfortable	na	na	na	na
148	United States	America	India	India	Male	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Supervisor, Human Resources, Designated committee	Designated committee	na	na	Not comfortable	na	na	na	na
149	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
150	United States	America	India	India	Male	30 - 40	Single	Humanities & Social Sciences	Technical staff	Research institution	no	yes	yes	Gender Bias, Emotional harrassment	yes	yes	yes	Gender bias, Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Colleague	I don't know.	no actions were taken.	no	Somewhat comfortable	na	na	na	no
151	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
152	United States	America	India	India	Male	30 - 40	Social Partnership	STEM	PhD student	University	no	no	no	na	yes	not sure	yes	Gender bias, Emotional harrassment	I did not witness. Only know about it	na	na	I did not have enough proof id the discrimination was based on gender or race	no	no	I don't know.	I don't know.	na	na	na	na	na	na	na
153	United States	America	India	India	Female	30 - 40	Single	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	na	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources, Designated committee	Designated committee	na	na	Not comfortable	na	no	na	yes
154	United States	America	India	India	Male	30 - 40	Married	STEM	Senior Scientist/GL	University	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	not sure	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	Afraid of harm done to career if complained.	na	Not comfortable	na	na	na	na
155	United States	America	India	India	Female	40 - 50	Single	STEM	Staff Scientist	Industry	yes	yes	yes	Gender Bias	yes	yes	yes	Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	Did not complain	na	na	no complaint made	na	no complaint made	na
156	United States	America	India	India	Female	20 - 30	Married	STEM	Post doc	Industry	not sure	no	no	na	yes	yes	yes	Emotional harrassment	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
157	United States	America	India	India	Male	30 - 40	Married	STEM	Admin/Management	Industry	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources	Human Resources/Supervisor	Did not report	na	Not comfortable	na	na	na	na
158	United States	America	India	India	Male	50 - 60	Married	Business 	Admin/Management	Industry	no	no	no	na	yes	yes	yes	Gender bias, Emotional harrassment	no, I did not bother.	no	no, I did not bother.	not under my control 	no	no	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	na	na	no
159	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	Research institution	yes	na	yes	Emotional harrassment	not sure	not sure	not sure	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Moderately	yes	Somewhat comfortable	na	no	na	no
160	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	not sure	yes	yes	Emotional harrassment, Mental harrassment	yes	yes	yes	Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	yes, I reported the issue.	yes	yes, I reported the issue.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	na
161	United States	America	India	India	Male	30 - 40	Married	STEM	Staff Scientist	Research institution	not sure	yes	yes	Mental harrassment	yes	no	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	yes
162	United States	America	India	India	Male	30 - 40	Married	STEM	Senior Scientist/GL	Industry	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
163	United States	America	United States	America	Male	40 - 50	Married	STEM	Scientific Staff	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
164	United States	America	India	India	Male	30 - 40	Single	STEM	PhD student	University	no	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment, Plagiarism	yes	no	yes	Gender bias, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	The person who was harassing was told to stay off	yes	Not comfortable	na	yes	na	yes
165	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	yes	yes	Emotional harrassment, Mental harrassment	no	yes	yes	Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	Unfriendly work environment	na
166	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
167	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Industry	no	no	no	na	no	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
168	United States	America	India	India	Female	30 - 40	Married	STEM	Staff Scientist	University	yes	no	no	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	Sometimes I did and sometimes I did not	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor, Human Resources	Human Resources/Supervisor	not applicable 	na	na	Did not report	na	Did not report	na
169	United States	America	India	India	Male	20 - 30	Married	STEM	PhD student	University	no	no	no	na	not sure	not sure	not sure	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
170	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	no	na	no	na	no	na	no	na	na	na	na	na	na	na	Supervisor, Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
171	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	yes	yes	Gender Bias	no	yes	yes	Gender bias, Emotional harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	na	na	Somewhat comfortable	na	na	na	na
172	United States	America	India	India	Prefer not to say	30 - 40	Single	STEM	Post doc	University	no	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	no	no	no	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Strict actions were taken.	yes	Not comfortable	na	yes	na	no
173	United States	America	India	India	Female	40 - 50	Married	STEM	Staff Scientist	University	yes	yes	yes	Sexual harrassment, Emotional harrassment, Mental harrassment, Racism	no	no	no	na	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Somewhat comfortable	na	no	Grudges, emotional distress, unfriendly work environment 	yes
174	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Entrepreneur/Freelance	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias, Sexual harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources	Human Resources/Supervisor	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	yes
175	United States	America	India	India	Female	50 - 60	Social Partnership	STEM	Staff Scientist	Industry	yes	yes	yes	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
176	United States	America	India	India	Female	30 - 40	Single	STEM	Post doc	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
177	United States	America	India	India	Female	30 - 40	Single	STEM	Post doc	University	no	yes	yes	Emotional harrassment	yes	no	yes	Emotional harrassment	By giving emotional support.	yes	yes, I immediately responded.	Communated to the graduate school authority	yes	yes, I reported the issue.	Supervisor, Designated committee	Designated committee	no actions were taken.	no	Somewhat comfortable	na	no	na	no
178	United States	America	India	India	Female	30 - 40	Single	STEM	PhD student	University	no	yes	yes	Favoritism	no	no	no	na	Never experienced gender bias 	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
179	United States	America	India	India	Male	30 - 40	Single	STEM	Post doc	Research institution	not sure	not sure	not sure	na	not sure	not sure	not sure	na	Never recognized such an instance	na	na	Never recognized such an instance	na	na	Supervisor	Human Resources/Supervisor	Never recognized such an instance	na	na	Never recognized such an instance	na	Never recognized such an instance	na
180	United States	America	Guinea	RoW	Male	20 - 30	Married	STEM	Post doc	Research institution	no	no	no	na	no	no	no	na	Never experienced	na	na	not experienced 	na	na	Supervisor, Human Resources, Designated committee	Designated committee	Never complained as never experienced 	na	na	na	na	na	na
181	United States	America	India	India	Female	30 - 40	Married	STEM	Staff Scientist	University	yes	na	yes	Sexual harrassment, Emotional harrassment	not sure	Do not wish to answer	not sure	na	In one case yes, in another case no I did not respond in time but cut contact with the person in question.	yes	yes, but I responded later.	I confided in a female prof and together we worked out a strategy to deal with it. I ultimately did not file an official report.	other	other	Colleague, Supervisor, Human Resources	Human Resources/Supervisor	Seriously. But before an official complain was made the situation was diffused. 	yes	Somewhat comfortable	In one case the person himself stopped all contact after months of harassment. 	yes	na	no
182	United States	America	United States	America	Male	40 - 50	Married	STEM	Senior Scientist/GL	University	no	no	no	na	no	yes	yes	Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	no actions were taken.	no	Very comfortable	na	not sure	na	no
183	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	University	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
184	United States	America	India	India	Female	20 - 30	Married	STEM	PhD student	University	no	no	no	na	no	no	no	na	Did not face such scenario. 	na	na	not applicable 	na	na	Human Resources, Designated committee	Designated committee	Strict actions were taken.	yes	Very comfortable	not applicable 	na	na	no
185	United States	America	Bangladesh	RoW	Male	40 - 50	Married	STEM	Post doc	University	yes	no	no	Gender Bias	yes	no	yes	Gender bias	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor, Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	yes
186	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	Mental harrassment	yes	yes	yes	Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Human Resources	Human Resources/Supervisor	na	na	Very comfortable	na	na	na	no
187	United States	America	India	India	Female	20 - 30	Married	STEM	Post doc	University	no	no	no	na	yes	yes	yes	Gender bias	yes, I immediately responded.	yes	yes, I immediately responded.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Colleague	I don't know.	Strict actions were taken.	yes	Somewhat comfortable	na	yes	na	no
188	United States	America	India	India	Female	30 - 40	Single	STEM	Post doc	Research institution	not sure	yes	yes	Gender Bias	yes	yes	yes	Gender bias, Mental harrassment	Where possible I responded, where the position of the person was too high, nothing happened	yes	yes, I immediately responded.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor, Human Resources, Designated committee	Designated committee	no actions were taken.	no	Not comfortable	na	no	na	na
189	United States	America	India	India	Female	20 - 30	Single	STEM	PhD student	University	no	no	no	na	no	no	no	na	na	na	na	na	na	na	Supervisor, Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
190	United States	America	India	India	Female	30 - 40	Don't want to specify	STEM	Staff Scientist	Research institution	yes	no	no	Sexual harrassment, Emotional harrassment, Mental harrassment	no	not sure	no	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	This was back in grad school - It was my classmate from undergrad. I could not recognise the harrassment then. He countinued cyber verbal harrassment even after I moved from the place	na	Somewhat comfortable	My classmates seemed to recognise it later and acknowledged the cyber-bullying and harrassment. But nothing formal or proper efforts were taken	na	He has been gaslighting me & others about me. Some of my classmates started trusting his stories until he started crossing lines in common chat groups when they acknowledged the nasty verbal comments directed towards me. Then I blocked and quit the group	yes
191	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	not sure	not sure	not sure	na	not sure	not sure	not sure	na	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Human Resources	Human Resources/Supervisor	na	na	Somewhat comfortable	na	no	na	no
192	United States	America	India	India	Female	20 - 30	Social Partnership	STEM	Post doc	non-profit institution	yes	not sure	yes	Emotional harrassment	yes	no	yes	Gender bias, Emotional harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Supervisor, Human Resources	Human Resources/Supervisor	did not report	na	Not comfortable	na	na	na	na
193	United States	America	India	India	Female	40 - 50	Don't want to specify	STEM	None	Entrepreneur/Freelance	na	no	no	na	na	no	no	na	yes, I immediately responded.	yes	yes, I immediately responded.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor, Human Resources, Designated committee	Designated committee	Strict actions were taken.	yes	Somewhat comfortable	na	no	na	no
194	United States	America	India	India	Female	20 - 30	Single	STEM	PhD student	University	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	yes	no	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor, Human Resources	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	I left the lab having wasted my time 	yes
195	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias	not sure	not sure	not sure	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
196	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias	no	yes	yes	Gender bias	I served as a GS in one of the WIS initiatives in a chemistry heavy institute in India and the kind of bias that women PhDs or scientists faced was mostly related to male PhD candidates being preferred for the heavy work (read carrying cylinders) involved. One of the great aspects of the initiative was mentoring provided by women scientists. PhD candidates could share professional problems with the mentors in the programme and the solutions were very effective in an Indian scenario.	na	na	I was able to connect the candidates to appropriate mentors.	other	other	Designated committee	Designated committee	na	na	na	na	na	na	na
197	United States	America	India	India	Female	30 - 40	Married	STEM	Technical staff	University	yes	not sure	yes	Gender Bias, Emotional harrassment	yes	yes	yes	Gender bias	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
198	United States	America	India	India	Female	20 - 30	Single	STEM	Admin/Management	Industry	yes	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	It was mostly unconscious bias 	no	no	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
199	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
200	United States	America	India	India	Female	40 - 50	Single	STEM	Staff Scientist	University	not sure	yes	yes	Gender Bias	yes	yes	yes	Gender bias	no, I did not bother.	no	no, I did not bother.	no, I did not bother to report.	no	no, I did not bother to report.	Designated committee	Designated committee	I did not report the incidents other than discussing with colleagues	na	Not comfortable	I did not report the incident, but discussing it with my colleagues and friends helped me find workable strategies to overcome it.	na	na	no
201	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	na	na	na	na	na	na	na	na	na	na	na	na	na	na	Supervisor	Human Resources/Supervisor	na	na	na	na	na	na	na
202	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	not sure	no	no	na	not sure	not sure	not sure	na	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
203	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	not sure	no	no	Emotional harrassment, Mental harrassment	no	no	no	na	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	Human Resources, Designated committee	Designated committee	na	na	Somewhat comfortable	na	na	na	na
204	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias, Mental harrassment	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I did not bother to report.	no	no, I did not bother to report.	Human Resources	Human Resources/Supervisor	na	na	Not comfortable	na	na	na	na
205	United States	America	India	India	Female	30 - 40	Married	STEM	Staff Scientist	University	no	no	no	na	not sure	yes	yes	Gender bias, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	someone else reported the issue on my behalf.	other	someone else reported the issue on my behalf.	Human Resources	Human Resources/Supervisor	na	na	Not comfortable	na	no	na	no
206	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	yes	yes	Gender Bias, Physical harrassment, Emotional harrassment	yes	yes	yes	Gender bias	no, I was discouraged from responding to the incident.	no	no, I was discouraged from responding to the incident.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor, Human Resources	Human Resources/Supervisor	never brought it up	na	Not comfortable	na	na	I would suppose  yes	na
207	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	yes	no	no	Gender Bias, Emotional harrassment, Mental harrassment	no	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Designated committee	Designated committee	no actions were taken.	no	Very comfortable	na	yes	na	no
208	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	non-profit institution	yes	no	no	Gender Bias	no	no	no	na	yes, but I responded later.	yes	yes, but I responded later.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	Strict actions were taken.	yes	Not comfortable	na	no	na	yes
209	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	Research institution	yes	no	no	Gender Bias, Sexual harrassment, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	yes, I immediately responded.	yes	yes, I immediately responded.	yes, I reported the issue.	yes	yes, I reported the issue.	Supervisor	Human Resources/Supervisor	no actions were taken.	no	Not comfortable	na	no	na	no
210	United States	America	India	India	Female	30 - 40	Single	STEM	Senior Scientist/GL	Industry	yes	yes	yes	Gender Bias, Emotional harrassment, Mental harrassment	yes	yes	yes	Gender bias, Sexual harrassment, Emotional harrassment, Mental harrassment	no, I was afraid of furthering the issue.	no	no, I was afraid of furthering the issue.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
211	United States	America	India	India	Male	20 - 30	Single	STEM	Post doc	University	no	no	no	na	not sure	yes	yes	Gender bias, Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	My colleague requested I not report the issue.	other	other	Human Resources	Human Resources/Supervisor	no actions were taken.	no	Somewhat comfortable	na	no	na	no
212	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	Research institution	no	no	no	na	no	no	no	na	na	na	na	na	na	na		I don't know.	na	na	na	na	na	na	na
213	United States	America	India	India	Female	30 - 40	Married	STEM	Senior Scientist/GL	Research institution	yes	yes	yes	Gender Bias	not sure	not sure	not sure	na	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	I don't know.	I don't know.	no actions were taken.	no	Not comfortable	na	no	na	no
214	United States	America	India	India	Female	20 - 30	Married	STEM	Post doc	University	yes	yes	yes	Gender Bias, Emotional harrassment	yes	not sure	yes	Emotional harrassment	yes, but I responded later.	yes	yes, but I responded later.	no, I did not know whom to report.	no	no, I did not know whom to report.	Supervisor, Human Resources, Designated committee	Designated committee	na	na	na	na	na	na	na
215	United States	America	India	India	Female	40 - 50	Married	STEM	Senior Scientist/GL	University	yes	no	no	Gender Bias, Mental harrassment	yes	yes	yes	Gender bias, Emotional harrassment, Mental harrassment	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I did not know whom to report.	no	no, I did not know whom to report.	Human Resources	Human Resources/Supervisor	na	na	Not comfortable	na	na	na	na
216	United States	America	India	India	Female	30 - 40	Married	STEM	PhD student	University	no	no	no	na	not sure	not sure	not sure	na	Never faced such an incident	na	na	Never faced such an incident 	na	na	Human Resources	Human Resources/Supervisor	na	na	na	na	na	na	na
217	United States	America	India	India	Female	30 - 40	Married	STEM	Post doc	University	no	no	no	na	no	yes	yes	Gender bias	no, I did not know how to respond so I let it pass.	no	no, I did not know how to respond so I let it pass.	no, I was afraid of being misjudged.	no	no, I was afraid of being misjudged.	I don't know.	I don't know.	na	na	Not comfortable	na	na	na	na
218	United States	America	India	India	Female	30 - 40	Married	STEM	Technical staff	Industry	no	no	no	na	no	yes	yes	Sexual harrassment	not a colleague of mine	na	na	not my colleague but a friend	other	someone else reported the issue on my behalf.	Supervisor, Human Resources	Human Resources/Supervisor	na	na	Somewhat comfortable	na	na	na	na
219	United States	America	India	India	Male	30 - 40	Married	STEM	Post doc	University	yes	na	yes	na	na	na	na	na	na	na	na	na	na	na	I don't know.	I don't know.	na	na	na	na	na	na	na
